iter	RMSE
0	219258.2587
1	216409.5072
2	213919.9767
3	211464.7484
4	209416.0815
5	207305.5222
6	205298.9365
7	202951.6755
8	200825.8909
9	199065.4694
10	197224.0365
11	195440.4765
12	193719.9633
13	191735.5824
14	189891.7971
15	188430.2221
16	187066.3669
17	185588.1664
18	184712.466
19	183289.9982
20	182089.298
21	181200.1947
22	179964.2081
23	179057.9386
24	177810.0451
25	177105.2315
26	175885.5882
27	174923.6671
28	174177.968
29	173386.7393
30	172714.6906
31	172030.1974
32	170913.2019
33	169723.4754
34	168749.0585
35	167761.7509
36	167132.6233
37	165901.0875
38	164828.3527
39	164260.4954
40	163438.674
41	162976.8033
42	162202.9529
43	160996.2547
44	159959.1125
45	158937.1095
46	158144.9344
47	157159.8628
48	156235.3009
49	155474.013
50	154746.157
51	153994.5533
52	153363.7474
53	152578.6555
54	151705.7156
55	150515.0254
56	149970.2329
57	149305.6878
58	148487.8879
59	148015.4581
60	147558.8439
61	146849.0642
62	146010.4547
63	145176.9824
64	144677.3398
65	144306.1618
66	143581.0176
67	142769.5934
68	142406.3978
69	142195.376
70	141558.4072
71	141300.2654
72	140536.7399
73	139838.1207
74	139517.9875
75	138788.847
76	138559.6494
77	138091.0166
78	137678.6376
79	137200.5679
80	136854.3325
81	136214.4008
82	135641.5482
83	135310.7448
84	135013.0113
85	134550.8579
86	134004.1127
87	133591.0543
88	132795.0859
89	132660.446
90	132473.3363
91	132048.4802
92	131678.3272
93	131241.7472
94	130713.0752
95	130232.1901
96	129879.6062
97	129505.9283
98	128685.229
99	128306.4521
100	127679.7677
101	127401.5037
102	126885.6733
103	126443.9092
104	125823.1631
105	125436.7499
106	125046.66
107	124617.4792
108	124068.4589
109	123524.2076
110	123128.1693
111	122574.163
112	122023.0472
113	121613.9083
114	121272.091
115	121096.0425
116	120952.571
117	120257.6593
118	119807.3811
119	119619.737
120	119526.2123
121	119220.9703
122	118859.4181
123	118289.0086
124	118048.8968
125	117452.7361
126	117041.87
127	116855.7797
128	116538.8802
129	116344.3932
130	116292.6025
131	115760.7927
132	115478.7121
133	114998.1103
134	114835.4647
135	114373.9459
136	114088.914
137	113800.2575
138	113319.2629
139	113042.6274
140	112786.9295
141	112639.9019
142	112321.1108
143	112074.9819
144	111845.8136
145	111588.2278
146	111403.9175
147	110975.6782
148	110748.8253
149	110256.2037
150	110111.1821
151	110006.967
152	109479.8815
153	109286.0718
154	109164.335
155	109078.874
156	109010.1722
157	108958.3995
158	108731.3702
159	108600.4456
160	108035.3287
161	107979.3004
162	107614.1691
163	107330.662
164	107282.7839
165	107092.5
166	106846.6136
167	106673.0556
168	106445.7863
169	106083.5347
170	105752.8923
171	105634.8351
172	105485.4313
173	105154.3299
174	105108.9394
175	105049.5348
176	104936.8564
177	104828.749
178	104647.3432
179	104295.2588
180	104036.3217
181	103766.637
182	103467.7794
183	103191.4986
184	102994.1331
185	102597.9136
186	102520.1798
187	102324.9704
188	102136.7872
189	102081.1212
190	101911.6013
191	101700.8993
192	101589.2178
193	101490.8724
194	101297.615
195	101116.2169
196	100915.5529
197	100750.7616
198	100672.88
199	100597.7427
200	100505.8966
201	100317.085
202	100007.1703
203	99861.30149
204	99590.16355
205	99536.64259
206	99440.53582
207	99188.58008
208	99077.14229
209	98755.78638
210	98607.0703
211	98520.68256
212	98425.62712
213	98150.91773
214	98015.13603
215	97844.56961
216	97659.52932
217	97491.665
218	97344.87357
219	97175.50283
220	96998.57786
221	96735.59296
222	96514.5351
223	96353.20029
224	96303.65047
225	96145.23192
226	96060.79518
227	95755.91441
228	95618.80883
229	95411.89995
230	95382.15187
231	95288.98818
232	95025.65956
233	94965.93098
234	94832.5562
235	94739.58238
236	94583.38818
237	94486.38267
238	94281.55533
239	94196.74962
240	94138.52871
241	93988.20539
242	93947.05155
243	93910.85011
244	93762.22264
245	93624.68255
246	93346.80153
247	93310.77446
248	93193.80862
249	93019.70472
250	92908.19529
251	92641.69057
252	92517.29174
253	92261.61473
254	92105.48817
255	91981.60746
256	91809.28925
257	91715.30281
258	91594.05302
259	91452.49171
260	91219.22128
261	91073.73546
262	90968.42024
263	90831.09385
